Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2005-01-03,115.36,1,0.11,0.001,115.65,115.9,114.99,102682442.0,1170594524785.0,358618172374640.0
2005-01-04,114.77,2,-0.59,-0.0051,115.0,115.8,114.5,121647428.0,1424929348925.0,356392034463875.0
2005-01-05,114.65,2,-0.12,-0.001,113.41,114.65,113.17,144508174.0,1677591150206.0,356077541654140.0
2005-01-06,112.94,2,-1.71,-0.0149,113.88,114.97,112.94,149958588.0,1873567392122.0,350819530504870.0
2005-01-07,112.71,2,-0.23,-0.002,113.61,113.94,112.18,120132387.0,1591171245995.0,350350443420800.0
2005-01-10,113.27,1,0.56,0.005,113.01,113.36,112.07,100523067.0,1284713354477.0,352010600230390.0
2005-01-11,114.66,1,1.39,0.0123,113.33,114.66,112.73,135599341.0,1813792862560.0,356833605582035.0
2005-01-12,114.09,2,-0.57,-0.005,114.71,114.94,113.79,132518506.0,1641276805080.0,354949273695455.0
2005-01-13,115.01,1,0.92,0.008100000000000001,114.26,115.08,113.69,108118502.0,1685767629705.0,357706963163655.0
2005-01-14,117.82,1,2.81,0.024399999999999998,114.23,117.82,113.91,154375330.0,2629695007124.0,366736851475615.0
2005-01-17,119.91,1,2.09,0.0177,118.96,120.28,118.7,199169636.0,2796170270850.0,374595023312070.0
2005-01-18,119.5,2,-0.41,-0.0034000000000000002,119.91,120.42,119.49,174875664.0,2195407263280.0,373103265920810.0
2005-01-19,118.9,2,-0.6,-0.005,119.85,120.4,118.66,181301538.0,1957063711970.0,371137318258465.0
2005-01-20,118.02,2,-0.88,-0.0074,118.05,118.74,117.72,168125066.0,1672047748615.0,368316673279590.0
2005-01-21,119.4,1,1.38,0.011699999999999999,118.14,119.41,117.62,156223074.0,1717792200230.0,372892907165080.0
2005-01-24,119.83,1,0.43,0.0036,119.19,120.66,118.34,216671238.0,1797209359705.0,374235292629580.0
2005-01-25,118.91,2,-0.92,-0.0077,118.92,119.25,118.35,192384311.0,1708417670850.0,370711728777900.0
2005-01-26,120.51,1,1.6,0.013500000000000002,119.36,120.95,119.16,197414956.0,2178386634478.0,375680645798840.0
2005-01-27,120.16,2,-0.35,-0.0029,120.65,121.0,119.61,187374006.0,2144513870045.0,374569522400905.0
2005-01-28,119.65,2,-0.51,-0.0042,120.14,120.25,118.98,159889779.0,1526084180575.0,373025008527005.0
2005-01-31,121.06,1,1.41,0.0118,119.45,121.21,119.45,144201075.0,1669528045605.0,377784122521295.0
2005-02-01,120.0,2,-1.06,-0.0088,120.74,120.97,119.91,134431518.0,1678323219495.0,374579171907085.0
2005-02-02,119.74,2,-0.26,-0.0022,120.3,120.37,119.41,156748898.0,1608425996405.0,373823431009515.0
2005-02-03,120.64,1,0.9,0.0075,119.88,120.8,119.71,168900688.0,1645289181550.0,376397815415910.0
2005-02-04,121.3,1,0.66,0.0055000000000000005,120.5,121.65,120.18,158891791.0,1822081428075.0,378242052196975.0
2005-02-07,123.2,1,1.9,0.015700000000000002,122.41,123.27,122.25,144273828.0,2116282048795.0,384248944378680.0
2005-02-11,122.84,2,-0.36,-0.0029,122.6,122.99,121.39,142137994.0,1922590833987.0,383022508995895.0
2005-02-14,124.94,1,2.1,0.0171,124.06,125.44,123.65,238015639.0,2742805049560.0,389904315775550.0
2005-02-15,125.48,1,0.54,0.0043,124.99,125.49,124.37,240948980.0,2617600679832.0,391386640317155.0
2005-02-16,125.85,1,0.37,0.0029,126.08,126.82,125.13,220910428.0,2504790151788.0,392676527163345.0
2005-02-17,125.93,1,0.08,0.0006,126.04,126.22,125.4,223743900.0,2375948765445.0,392542133110265.0
2005-02-18,127.43,1,1.5,0.011899999999999999,125.47,127.43,125.14,184273187.0,2537115107470.0,396917581489450.0
2005-02-21,128.09,1,0.66,0.0052,128.44,128.44,127.29,253184793.0,3476657275534.0,398605365111360.0
2005-02-22,126.74,2,-1.35,-0.0105,127.97,128.21,126.43,198959532.0,2620936141025.0,394690106262555.0
2005-02-23,125.53,2,-1.21,-0.0095,125.49,126.04,124.97,166252677.0,2343473763510.0,390581358164580.0
2005-02-24,127.81,1,2.28,0.0182,126.13,128.05,125.76,264984728.0,2390732457435.0,397633082504140.0
2005-02-25,129.13,1,1.32,0.0103,128.66,129.68,128.25,205360585.0,2590944328277.0,401870205302885.0
2005-02-28,130.85,1,1.72,0.013300000000000001,129.88,130.9,129.16,215543810.0,2861513757415.0,407178443831855.0
2005-03-02,130.14,2,-0.71,-0.0054,131.21,131.29,129.65,294053128.0,3526483912165.0,404878456890965.0
2005-03-03,130.61,1,0.47,0.0036,130.24,131.27,129.37,237748268.0,2689816908400.0,405993313261450.0
2005-03-04,130.61,3,0.0,0.0,130.95,131.15,130.05,229760813.0,2778831352118.0,406026066185785.0
2005-03-07,130.11,2,-0.5,-0.0038,131.77,132.22,128.93,250718013.0,3073805041223.0,404153560764445.0
2005-03-08,129.21,2,-0.9,-0.0069,130.54,130.77,128.83,212310599.0,2521104789086.0,401248351025125.0
2005-03-09,130.26,1,1.05,0.008100000000000001,128.83,130.26,127.92,158616613.0,2540254927000.0,404467839172110.0
2005-03-10,128.76,2,-1.5,-0.0115,130.07,130.79,128.76,209321415.0,3016254407755.0,399896399547025.0
2005-03-11,131.97,1,3.21,0.024900000000000002,129.84,131.98,129.79,187757623.0,2728944728131.0,410361491221685.0
2005-03-14,131.47,2,-0.5,-0.0038,131.34,131.67,130.92,142426039.0,2036389654420.0,408844623358415.0
2005-03-15,127.95,2,-3.52,-0.0268,131.96,131.99,127.86,196549638.0,2608823919520.0,397825250492945.0
2005-03-16,128.17,1,0.22,0.0017000000000000001,127.64,128.71,126.76,181833950.0,2415831066667.0,398489287381260.0
2005-03-17,126.68,2,-1.49,-0.0116,126.92,127.65,125.59,174680822.0,2249167494404.0,393775062414600.0
2005-03-18,126.82,1,0.14,0.0011,126.88,127.89,126.52,168595549.0,1944930815310.0,394289347257115.0
2005-03-21,126.84,1,0.02,0.0002,126.77,127.92,125.46,124747827.0,1786154601178.0,394316842290305.0
2005-03-22,126.87,1,0.03,0.0002,126.69,127.59,125.9,123555168.0,1491726362610.0,394797655819290.0
2005-03-23,125.16,2,-1.71,-0.013500000000000002,126.08,126.95,124.77,143939052.0,1645879586414.0,389736900268380.0
