,Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
0,0791601A,CJ CGV 5R,KOSPI,신주인수권증서,보통주,2020-07-03,2020-07-10,,,,,0.0,11123742,,
1,3655501B,ESR켄달스퀘어리츠 5R,KOSPI,신주인수권증서,보통주,2021-11-22,2021-11-29,,,,,0.0,69817306,,
2,1305001B,GH신소재 5R,KOSDAQ,신주인수권증서,보통주,2021-08-26,2021-09-02,,,,,0.0,3537126,,
3,2948701A,HDC현대산업개발 2R,KOSPI,신주인수권증서,보통주,2020-02-20,2020-02-27,,,,,0.0,21961947,,
4,1196501B,KC코트렐 6R,KOSPI,신주인수권증서,보통주,2021-06-23,2021-06-30,,,,,0.0,3668170,,
5,0000401A,KR모터스 41R,KOSPI,신주인수권증서,보통주,2020-04-09,2020-04-17,,,,,0.0,44293929,,
6,2184101B,RFHIC 13R,KOSDAQ,신주인수권증서,보통주,2021-06-22,2021-06-29,,,,,0.0,2777085,,
7,0118101B,STX 40R,KOSPI,신주인수권증서,보통주,2021-07-15,2021-07-22,,,,,0.0,6791526,,
8,2177301B,강스템바이오텍 23R,KOSDAQ,신주인수권증서,보통주,2021-09-24,2021-10-01,,,,,0.0,12365210,,
9,0901501B,광진윈텍 4R,KOSDAQ,신주인수권증서,보통주,2021-07-06,2021-07-13,,,,,0.0,7698255,,
10,0076901B,국도화학 13R,KOSPI,신주인수권증서,보통주,2021-07-28,2021-08-04,,,,,0.0,1275293,,
11,3077501B,국전약품 5R,KOSDAQ,신주인수권증서,보통주,2021-05-26,2021-06-02,,,,,0.0,9497509,,
12,0948601B,네오리진 25R,KOSDAQ,신주인수권증서,보통주,2021-10-01,2021-10-12,,,,,0.0,29495610,,
13,2906601A,네오펙트 35R,KOSDAQ,신주인수권증서,보통주,2020-10-23,2020-10-30,,,,,0.0,6169311,,
14,0682401B,다원시스 12R,KOSDAQ,신주인수권증서,보통주,2021-04-02,2021-04-09,,,,,0.0,4480930,,
15,0034901A,대한항공 45R,KOSPI,신주인수권증서,보통주,2020-06-24,2020-07-01,,,,,0.0,63409774,,
16,0034901B,대한항공 46R,KOSPI,신주인수권증서,보통주,2021-02-16,2021-02-23,,,,,0.0,138632699,,
17,0058801B,대한해운 26R,KOSPI,신주인수권증서,보통주,2021-05-24,2021-05-31,,,,,0.0,59857690,,
18,0041401B,동방 20R,KOSPI,신주인수권증서,보통주,2021-11-16,2021-11-23,,,,,0.0,6367650,,
19,0026901B,동일제강 3R,KOSPI,신주인수권증서,보통주,2021-10-20,2021-10-27,,,,,0.0,4235884,,
20,0340201A,두산중공업 40R,KOSPI,신주인수권증서,보통주,2020-11-18,2020-11-25,,,,,0.0,97090343,,
