,Code,Name,Market,Sector,Industry,Products,ListingDate,SettleMonth,Representative,HomePage,Region
0,060310,3S,KOSDAQ,벤처기업부,,,,,,,
1,095570,AJ네트웍스,KOSPI,,,,,,,,
2,006840,AK홀딩스,KOSPI,,,,,,,,
3,054620,APS,KOSDAQ,중견기업부,,,,,,,
4,079810,APS이노베이션,KOSDAQ,우량기업부,,,,,,,
5,265520,AP시스템,KOSDAQ,우량기업부,,,,,,,
6,211270,AP위성,KOSDAQ,우량기업부,,,,,,,
7,027410,BGF,KOSPI,,,,,,,,
8,282330,BGF리테일,KOSPI,,,,,,,,
9,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,,,,,,,
10,138930,BNK금융지주,KOSPI,,,,,,,,
11,001460,BYC,KOSPI,,,,,,,,
12,001465,BYC우,KOSPI,,,,,,,,
13,083790,CG인바이츠,KOSDAQ,벤처기업부,,,,,,,
14,001040,CJ,KOSPI,,,,,,,,
15,079160,CJ CGV,KOSPI,,,,,,,,
16,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,,,,,,,
17,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,,,,,,,
18,00104K,CJ4우(전환),KOSPI,,,,,,,,
19,000120,CJ대한통운,KOSPI,,,,,,,,
20,011150,CJ씨푸드,KOSPI,,,,,,,,
21,011155,CJ씨푸드1우,KOSPI,,,,,,,,
22,001045,CJ우,KOSPI,,,,,,,,
23,097950,CJ제일제당,KOSPI,,,,,,,,
24,097955,CJ제일제당 우,KOSPI,,,,,,,,
25,051500,CJ프레시웨이,KOSDAQ,우량기업부,,,,,,,
26,058820,CMG제약,KOSDAQ,중견기업부,,,,,,,
27,056730,CNT85,KOSDAQ,중견기업부,,,,,,,
28,000480,CR홀딩스,KOSPI,,,,,,,,
29,065770,CS,KOSDAQ,벤처기업부,,,,,,,
30,083660,CSA 코스믹,KOSDAQ,중견기업부,,,,,,,
31,000590,CS홀딩스,KOSPI,,,,,,,,
32,012030,DB,KOSPI,,,,,,,,
33,477760,DB금융스팩12호,KOSDAQ,SPAC(소속부없음),,,,,,,
34,005830,DB손해보험,KOSPI,,,,,,,,
35,016610,DB증권,KOSPI,,,,,,,,
36,000990,DB하이텍,KOSPI,,,,,,,,
37,099520,DGI,KOSDAQ,관리종목(소속부없음),,,,,,,
38,000300,DH오토넥스,KOSPI,,,,,,,,
39,290120,DH오토리드,KOSDAQ,중견기업부,,,,,,,
40,025440,DH오토웨어,KOSDAQ,투자주의환기종목(소속부없음),,,,,,,
41,001530,DI동일,KOSPI,,,,,,,,
42,015590,DKME,KOSPI,,,,,,,,
43,000210,DL,KOSPI,,,,,,,,
44,000215,DL우,KOSPI,,,,,,,,
45,375500,DL이앤씨,KOSPI,,,,,,,,
46,37550L,DL이앤씨2우(전환),KOSPI,,,,,,,,
47,37550K,DL이앤씨우,KOSPI,,,,,,,,
48,068790,DMS,KOSDAQ,우량기업부,,,,,,,
49,007340,DN오토모티브,KOSPI,,,,,,,,
50,004840,DRB동일,KOSPI,,,,,,,,
51,241520,DSC인베스트먼트,KOSDAQ,중견기업부,,,,,,,
52,155660,DSR,KOSPI,,,,,,,,
53,069730,DSR제강,KOSPI,,,,,,,,
54,017860,DS단석,KOSPI,,,,,,,,
55,180400,DXVX,KOSDAQ,관리종목(소속부없음),,,,,,,
56,092780,DYP,KOSPI,,,,,,,,
57,017940,E1,KOSPI,,,,,,,,
58,418620,E8,KOSDAQ,기술성장기업부,,,,,,,
59,245620,EDGC,KOSDAQ,관리종목(소속부없음),,,,,,,
60,037370,EG,KOSDAQ,벤처기업부,,,,,,,
61,278990,EMB,KONEX,일반기업부,,,,,,,
62,365550,ESR켄달스퀘어리츠,KOSPI,,,,,,,,
63,050120,ES큐브,KOSDAQ,중견기업부,,,,,,,
64,383220,F&F,KOSPI,,,,,,,,
65,007700,F&F홀딩스,KOSPI,,,,,,,,
66,214270,FSN,KOSDAQ,중견기업부,,,,,,,
67,032620,GC메디아이,KOSDAQ,우량기업부,,,,,,,
68,130500,GH신소재,KOSDAQ,중견기업부,,,,,,,
69,114090,GKL,KOSPI,,,,,,,,
70,900290,GRT,KOSDAQ,외국기업(소속부없음),,,,,,,
71,078930,GS,KOSPI,,,,,,,,
72,083450,GST,KOSDAQ,우량기업부,,,,,,,
73,006360,GS건설,KOSPI,,,,,,,,
