,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,277500,1,10500,3.93,289500,290000,271000,502358,140475399500,14870210182500,53586343,KSQ
1,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,82200,1,200,0.24,84600,84900,81300,553942,45963725100,11160799694400,135776152,KSQ
2,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,101700,2,-800,-0.78,105000,106200,100800,321640,33022657250,9949355137800,97830434,KSQ
3,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,474500,1,7500,1.61,477000,480000,455500,94478,44418392250,9205232621000,19399858,KSQ
4,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,142200,1,6200,4.56,145800,145800,136200,851170,119646031650,6609615406200,46481121,KSQ
5,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,66200,1,1800,2.8,67700,68000,64100,421334,27902174500,5045224470000,76211850,KSQ
6,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,98100,1,1600,1.66,103300,103400,95100,981359,96205519500,4815130688100,49083901,KSQ
7,028300,KR7028300002,HLB,KOSDAQ,중견기업부,35650,1,1300,3.78,34500,36450,33900,710693,25070987700,4748516649950,133198223,KSQ
8,298380,KR7298380007,에이비엘바이오,KOSDAQ GLOBAL,기술성장기업부,80900,1,500,0.62,79600,82400,77600,258600,20790496250,4529385756700,55987463,KSQ
9,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,111300,1,1400,1.27,108900,114000,106400,276131,30523963400,4120261223400,37019418,KSQ
10,039030,KR7039030002,이오테크닉스,KOSDAQ,우량기업부,331000,1,22000,7.12,323500,333500,315000,62314,20273637250,4077771050000,12319550,KSQ
11,087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,172600,2,-1200,-0.69,171800,176200,165500,170508,29281743350,4024574610000,23317350,KSQ
12,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,169200,1,1900,1.14,169000,172100,164600,122347,20666188150,3969004262400,23457472,KSQ
13,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,379000,2,-5500,-1.43,381500,389000,374500,167004,63459284000,3937676592000,10389648,KSQ
14,222800,KR7222800005,심텍,KOSDAQ GLOBAL,중견기업부,101700,1,4600,4.74,102100,102400,95400,507802,50563376400,3810081782700,37463931,KSQ
15,319660,KR7319660007,피에스케이,KOSDAQ,우량기업부,128400,1,2400,1.9,136400,136400,122800,317041,40515365450,3719326077600,28966714,KSQ
16,108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,236000,1,3500,1.51,236000,241000,226000,137580,32209186750,3460002608000,14661028,KSQ
