,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
0,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,256500,1,3000,1.18,255500,260000,254000,103849,26699541250,17866541614500,69655133,KSQ,ME005
1,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,80100,2,-1000,-1.23,81500,81500,79600,265566,21289355950,10875669775200,135776152,KSQ,ME005
2,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,103200,2,-1700,-1.62,105300,105500,102500,98418,10182517650,10096100788800,97830434,KSQ,ME005
3,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,206500,1,1000,0.49,208500,210000,202000,414150,85341020750,9598351486500,46481121,KSQ,ME005
4,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,437500,1,1500,0.34,434500,440500,430000,16302,7097086250,8487437875000,19399858,KSQ,ME005
5,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,128800,1,7300,6.01,124000,131000,121700,1095584,139469106650,6322006448800,49083901,KSQ,ME005
6,039030,KR7039030002,이오테크닉스,KOSDAQ,우량기업부,472500,1,19000,4.19,455500,479000,454000,40505,19020140000,5820987375000,12319550,KSQ,ME005
7,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,69800,1,200,0.29,70100,70500,68500,228980,15967311600,5319587130000,76211850,KSQ,ME005
8,222800,KR7222800005,심텍,KOSDAQ GLOBAL,중견기업부,129700,1,4000,3.18,126300,131200,124000,217972,27979366850,4991443022200,38484526,KSQ,ME005
9,108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,308000,1,1500,0.49,306500,310500,302000,93525,28635862250,4517444624000,14667028,KSQ,ME005
10,403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,54300,1,400,0.74,54000,55400,52700,913520,49695744600,4468890000000,82300000,KSQ,ME005
11,028300,KR7028300002,HLB,KOSDAQ,중견기업부,31900,1,2250,7.59,30400,33400,29400,796362,25013473975,4249023313700,133198223,KSQ,ME005
