,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,346500,1,3500,1.02,332000,348000,331500,18134051,6145208668000,2025735537672000,5846278608,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,2521000,1,139000,5.84,2335000,2523000,2334000,3980010,9758005324358,1796722662165000,712702365,STK
2,402340,KR7402340004,SK스퀘어,KOSPI,,1596000,1,95000,6.33,1534000,1612000,1527000,1001859,1587768422000,210605584056000,131958386,STK
3,005935,KR7005931001,삼성전자우,KOSPI,,226500,1,2500,1.12,216500,226500,216000,2926145,647531209750,181737077479500,802371203,STK
4,009150,KR7009150004,삼성전기,KOSPI,,2032000,2,-16000,-0.78,1987000,2065000,1972000,590565,1192949947500,151777590272000,74693696,STK
5,005380,KR7005380001,현대차,KOSPI,,618000,2,-22000,-3.44,633000,633000,613000,891522,551744488000,126540299388000,204757766,STK
6,373220,KR7373220003,LG에너지솔루션,KOSPI,,416000,1,5500,1.34,414000,421500,406000,224023,92963254750,97344000000000,234000000,STK
7,032830,KR7032830002,삼성생명,KOSPI,,447000,1,16000,3.71,430000,450000,424000,343520,150679605250,89400000000000,200000000,STK
8,028260,KR7028260008,삼성물산,KOSPI,,490000,2,-7000,-1.41,490000,495500,470000,370049,178515179750,79462114690000,162167581,STK
9,329180,KR7329180004,HD현대중공업,KOSPI,,707000,1,9000,1.29,702000,738000,693000,340503,244352182500,74207586075000,104961225,STK
10,034020,KR7034020008,두산에너빌리티,KOSPI,,103200,2,-100,-0.1,104500,106200,102500,2408504,250470994600,66105910267200,640561146,STK
11,000270,KR7000270009,기아,KOSPI,,166300,2,-3900,-2.29,169200,169400,165800,585295,97856830350,64925681567400,390412998,STK
12,207940,KR7207940008,삼성바이오로직스,KOSPI,,1370000,1,37000,2.78,1340000,1380500,1315000,60218,81578029000,63418602870000,46290951,STK
13,012450,KR7012450003,한화에어로스페이스,KOSPI,,1224000,1,41000,3.47,1241000,1264000,1198000,290565,359190826500,63113602824000,51563401,STK
14,105560,KR7105560007,KB금융,KOSPI,,164000,2,-8000,-4.65,175400,176500,163500,1530191,256111343250,58168788376000,354687734,STK
15,012330,KR7012330007,현대모비스,KOSPI,,631000,2,-29000,-4.39,651000,651000,626000,308035,195502935500,57252259873000,90732583,STK
16,034730,KR7034730002,SK,KOSPI,,708000,1,35000,5.2,675000,719000,666000,197604,138178311500,51331913724000,72502703,STK
17,055550,KR7055550008,신한지주,KOSPI,,103100,2,-3600,-3.37,107100,108800,102700,1337604,139670163700,48936864619100,474654361,STK
18,006400,KR7006400006,삼성SDI,KOSPI,,550000,1,1000,0.18,556000,556000,536000,257980,141385004000,44322041500000,80585530,STK
19,042660,KR7042660001,한화오션,KOSPI,,133100,1,3900,3.02,129300,141900,129200,5967526,816701290500,40783622741400,306413394,STK
20,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1120000,1,6000,0.54,1139000,1150000,1092000,161117,181462585500,40372791200000,36047135,STK
21,068270,KR7068270008,셀트리온,KOSPI,,174600,1,100,0.06,175900,177800,171100,500727,87484398050,38697185354400,221633364,STK
22,010120,KR7010120004,LS ELECTRIC,KOSPI,,255000,2,-2500,-0.97,265000,266000,249500,731537,187985455500,38250000000000,150000000,STK
23,035420,KR7035420009,NAVER,KOSPI,,243500,1,1500,0.62,239500,247500,234500,1156913,280692114750,38202147158000,156887668,STK
24,066570,KR7066570003,LG전자,KOSPI,,234500,1,500,0.21,229000,239500,224000,1260211,293193599000,38196447611000,162884638,STK
25,298040,KR7298040007,효성중공업,KOSPI,,3855000,2,-37000,-0.95,3900000,3923000,3802000,32163,124340245500,35946132540000,9324548,STK
26,086790,KR7086790003,하나금융지주,KOSPI,,126800,2,-5200,-3.94,135200,135200,126400,482592,62264414400,34789830446400,274367748,STK
27,009540,KR7009540006,HD한국조선해양,KOSPI,,434000,2,-4500,-1.03,440500,446000,428500,171966,74958763250,30715532344000,70773116,STK
28,005490,KR7005490008,POSCO홀딩스,KOSPI,,384500,2,-5500,-1.41,396500,397000,382500,308208,119377531250,30468367131500,79241527,STK
29,042700,KR7042700005,한미반도체,KOSPI,,319500,2,-9000,-2.74,325000,330000,314000,752108,239468325000,30452247900000,95312200,STK
30,000810,KR7000810002,삼성화재,KOSPI,,679000,1,8000,1.19,677000,687000,668000,228044,155053165887,30315634167000,44647473,STK
31,011070,KR7011070000,LG이노텍,KOSPI,,1248000,1,12000,0.97,1207000,1305000,1202000,317100,399428190500,29536549536000,23667107,STK
32,006800,KR7006800007,미래에셋증권,KOSPI,,50400,2,-900,-1.75,51500,51600,50100,2141472,108231210050,28202170752000,559566880,STK
33,010130,KR7010130003,고려아연,KOSPI,,1261000,2,-32000,-2.47,1330000,1330000,1248000,13193,16789426500,26320813909000,20872969,STK
34,000150,KR7000150003,두산,KOSPI,,1624000,2,-75000,-4.41,1694000,1694000,1615000,85521,139686011000,26298788040000,16193835,STK
35,015760,KR7015760002,한국전력,KOSPI,,40500,1,700,1.76,40800,43100,40400,4127751,171981006325,25999545118500,641964077,STK
36,051910,KR7051910008,LG화학,KOSPI,,361000,2,-6500,-1.77,368500,372500,359000,188380,68507612750,25483835823000,70592343,STK
37,010140,KR7010140002,삼성중공업,KOSPI,,28950,1,850,3.02,28450,29800,28150,5929084,173184976825,25476000000000,880000000,STK
38,064350,KR7064350002,현대로템,KOSPI,,219000,2,-7500,-3.31,223500,227000,216500,452271,100586488750,23902162167000,109142293,STK
39,316140,KR7316140003,우리금융지주,KOSPI,,32150,2,-900,-2.72,33400,33700,32150,1926378,63233819075,23600553688000,734076320,STK
40,017670,KR7017670001,SK텔레콤,KOSPI,,99000,2,-1100,-1.1,99900,100000,98500,773704,76577357300,21264215247000,214790053,STK
41,079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,950000,2,-52000,-5.19,997000,1003000,948000,301817,294223481000,20900000000000,22000000,STK
42,011200,KR7011200003,HMM,KOSPI,,22100,2,-50,-0.23,21900,23200,21700,2899739,65161508725,20845559137000,943237970,STK
43,267250,KR7267250009,HD현대,KOSPI,,262500,2,-9500,-3.49,272500,279000,262000,142344,38117758060,20735684812500,78993085,STK
44,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,373000,1,20500,5.82,365000,378000,348500,666473,243215548750,19987705939000,53586343,KSQ
45,272210,KR7272210006,한화시스템,KOSPI,,105300,2,-1100,-1.03,107000,109700,101200,823123,87569120350,19893211661700,188919389,STK
46,033780,KR7033780008,KT&G,KOSPI,,187200,1,2200,1.19,186300,189100,181300,311158,57999671600,19433317363200,103810456,STK
47,138040,KR7138040001,메리츠금융지주,KOSPI,,114300,2,-100,-0.09,115500,116500,113800,171054,19676788350,19127793303900,167347273,STK
48,307950,KR7307950006,현대오토에버,KOSPI,,691000,2,-25000,-3.49,717000,719000,690000,64520,44887188500,18949971562000,27423982,STK
49,003670,KR7003670007,포스코퓨처엠,KOSPI,,209500,1,500,0.24,210500,213000,205000,146612,30722668000,18634233090000,88946220,STK
50,096770,KR7096770003,SK이노베이션,KOSPI,,109000,2,-3500,-3.11,112600,113200,108900,456434,50277447750,18426753892000,169052788,STK
51,018260,KR7018260000,삼성에스디에스,KOSPI,,232500,2,-5500,-2.31,231500,236500,225000,245970,56780453500,17990338500000,77377800,STK
52,035720,KR7035720002,카카오,KOSPI,,40550,1,100,0.25,40500,41250,39600,1138416,46252625000,17953319238700,442745234,STK
53,024110,KR7024110009,기업은행,KOSPI,,22450,2,-650,-2.81,23300,23700,22300,1027053,23308471500,17902210759050,797425869,STK
54,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,180000,1,500,0.28,182600,183100,177000,361009,64867323450,17609478120000,97830434,KSQ
55,003550,KR7003550001,LG,KOSPI,,112500,2,-1600,-1.4,113000,115000,110100,396947,44571879550,17009100450000,151192004,STK
56,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,122800,1,200,0.16,123800,123900,120700,549734,67339405150,16673311465600,135776152,KSQ
57,086280,KR7086280005,현대글로비스,KOSPI,,220000,2,-2000,-0.9,223000,227500,219000,246393,54572306000,16500000000000,75000000,STK
58,000720,KR7000720003,현대건설,KOSPI,,139300,2,-8500,-5.75,150500,150500,138900,931255,131551305100,15511858064500,111355765,STK
59,278470,KR7278470000,에이피알,KOSPI,,408500,1,9000,2.25,416000,422500,399500,210807,86743462250,15293486317500,37438155,STK
60,047810,KR7047810007,한국항공우주,KOSPI,,155600,1,700,0.45,162800,163200,150500,578194,90981979900,15167126649200,97475107,STK
61,030200,KR7030200000,KT,KOSPI,,55300,2,-1300,-2.3,56600,57100,55100,288070,16181901150,13936799180500,252021685,STK
62,006260,KR7006260004,LS,KOSPI,,433000,1,9000,2.12,426500,444000,410500,180798,78457439750,13509600000000,31200000,STK
63,071050,KR7071050009,한국금융지주,KOSPI,,240000,2,-12500,-4.95,253500,254500,239000,260644,63307296500,13374238080000,55725992,STK
64,010950,KR7010950004,S-Oil,KOSPI,,109800,2,-4300,-3.77,114800,115700,109600,371589,41590340200,12361590561600,112582792,STK
65,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,625000,1,9000,1.46,629000,630000,614000,57935,35994770500,12124911250000,19399858,KSQ
66,005940,KR7005940002,NH투자증권,KOSPI,,32350,2,-500,-1.52,32850,33150,32150,715124,23278829425,11527740337150,356344369,STK
67,259960,KR7259960003,크래프톤,KOSPI,,247000,1,10000,4.22,237000,249500,234000,129078,31618675000,11395837271000,46136993,STK
68,0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,453500,3,0,0.0,460000,469500,435000,35691,16185335000,11284462721500,24883049,STK
69,323410,KR7323410001,카카오뱅크,KOSPI,,23650,2,-500,-2.07,24350,24450,23600,625016,14939609075,11283898335050,477120437,STK
70,016360,KR7016360000,삼성증권,KOSPI,,123900,2,-700,-0.56,123700,127600,122900,340249,42459349150,11064270000000,89300000,STK
71,443060,KR7443060009,HD현대마린솔루션,KOSPI,,246500,2,-9000,-3.52,253500,264000,244500,231594,58598196750,11051447890000,44833460,STK
