,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
0,005930,KR7005930003,삼성전자,KOSPI,,259000,1,6500,2.57,261000,261000,257500,4997870,1296608086250,1514186159472000,5846278608,STK,ME005
1,000660,KR7000660001,SK하이닉스,KOSPI,,1824000,1,79000,4.53,1810000,1828000,1805000,1247963,2272081572500,1332418073760000,730492365,STK,ME005
2,005935,KR7005931001,삼성전자우,KOSPI,,195900,1,2600,1.35,200000,200000,195500,1206337,238045206950,157184518667700,802371203,STK,ME005
3,402340,KR7402340004,SK스퀘어,KOSPI,,1047000,1,39000,3.87,1054000,1058000,1036000,117389,122551817500,138124425906000,131923998,STK,ME005
4,009150,KR7009150004,삼성전기,KOSPI,,1400000,1,70000,5.26,1394000,1409000,1388000,345974,483629178000,104571174400000,74693696,STK,ME005
5,373220,KR7373220003,LG에너지솔루션,KOSPI,,363500,2,-1500,-0.41,370500,371500,362000,60674,22187509750,85059000000000,234000000,STK,ME005
6,005380,KR7005380001,현대차,KOSPI,,366500,1,3500,0.96,369000,372000,366000,151521,55878753250,75043721239000,204757766,STK,ME005
7,207940,KR7207940008,삼성바이오로직스,KOSPI,,1395000,2,-1000,-0.07,1407000,1414000,1386000,9543,13322760000,64575876645000,46290951,STK,ME005
8,105560,KR7105560007,KB금융,KOSPI,,176200,2,-3000,-1.67,181500,181600,175150,327251,58068862000,62495978730800,354687734,STK,ME005
9,028260,KR7028260008,삼성물산,KOSPI,,354000,2,-1500,-0.42,365000,365000,352500,62258,22222150750,57407323674000,162167581,STK,ME005
10,012450,KR7012450003,한화에어로스페이스,KOSPI,,1104000,1,7000,0.64,1116000,1130000,1094000,45726,50602514000,56925994704000,51563401,STK,ME005
11,032830,KR7032830002,삼성생명,KOSPI,,284000,1,3500,1.25,288500,291000,280500,88977,25315950250,56800000000000,200000000,STK,ME005
12,034020,KR7034020008,두산에너빌리티,KOSPI,,85900,1,500,0.59,87300,87800,85300,924369,79484481150,55024202441400,640561146,STK,ME005
13,055550,KR7055550008,신한지주,KOSPI,,111400,2,-1900,-1.68,114200,114400,110400,310276,34710980320,52296756624600,469450239,STK,ME005
14,329180,KR7329180004,HD현대중공업,KOSPI,,461000,2,-8500,-1.81,468000,469500,458500,48253,22318637000,48387124725000,104961225,STK,ME005
