,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
0,005930,삼성전자,257750,2,-11250,-4.18,1506878311212000,
1,000660,SK하이닉스,1784000,2,-69000,-3.72,1303198379160000,
2,402340,SK스퀘어,1075000,2,-60000,-5.29,141818297850000,
3,009150,삼성전기,1399000,2,-1000,-0.07,104496480704000,
4,373220,LG에너지솔루션,353000,2,-12000,-3.29,82602000000000,
5,005380,현대차,379500,2,-9500,-2.44,77705572197000,
6,207940,삼성바이오로직스,1403000,2,-20000,-1.41,64946204253000,
7,105560,KB금융,176900,1,3500,2.02,62744260144600,
8,032830,삼성생명,304500,2,-5000,-1.62,60900000000000,
9,028260,삼성물산,371000,2,-8500,-2.24,60164172551000,
10,034020,두산에너빌리티,90500,1,600,0.67,57970783713000,
11,012450,한화에어로스페이스,1073000,1,6000,0.56,55327529273000,
12,055550,신한지주,112200,1,1900,1.72,52672316815800,
13,329180,HD현대중공업,482500,1,29000,6.39,50643791062500,
14,000270,기아,125700,2,-1300,-1.02,49074913848600,
15,006400,삼성SDI,546000,2,-15000,-2.67,43999699380000,
16,034730,SK,577000,2,-35000,-5.72,41834059631000,
17,068270,셀트리온,177400,2,-3400,-1.88,41266287022400,
18,086790,하나금융지주,137000,1,1700,1.26,37588381476000,
19,012330,현대모비스,415500,3,0,0.0,37320453067500,
20,066570,LG전자,199200,2,-7300,-3.54,32446619889600,
21,035420,NAVER,203500,2,-4500,-2.16,30951204091500,
22,000810,삼성화재,685000,1,38000,5.87,30583519005000,
23,010120,LS ELECTRIC,203500,2,-2500,-1.21,30525000000000,
24,267260,HD현대일렉트릭,739000,2,-7000,-0.94,26638832765000,
25,298040,효성중공업,2813000,2,-78000,-2.7,26229953524000,
26,005490,POSCO홀딩스,332500,2,-6500,-1.92,26347807727500,
27,042660,한화오션,85600,1,100,0.12,26228986526400,
28,009540,HD한국조선해양,366500,1,15000,4.27,25938347014000,
29,316140,우리금융지주,34900,1,900,2.65,25713850839300,
30,010130,고려아연,1182000,2,-42000,-3.43,24671849358000,
31,096770,SK이노베이션,143700,2,-9400,-6.14,24292885635600,
32,042700,한미반도체,232250,2,-20750,-8.2,22136258450000,
33,000150,두산,1362000,1,40000,3.03,22056003270000,
34,138040,메리츠금융지주,129500,1,2100,1.65,21671471853500,
35,015760,한국전력,33600,1,850,2.6,21569992987200,
36,011200,HMM,20700,2,-150,-0.72,19525025979000,
37,267250,HD현대,252000,1,6500,2.65,19906257420000,
38,017670,SK텔레콤,90300,2,-100,-0.11,19395541785900,
39,051910,LG화학,268750,2,-11750,-4.19,18971692181250,
40,010140,삼성중공업,21450,1,100,0.47,18876000000000,
41,006800,미래에셋증권,33650,2,-1100,-3.17,18272658366150,
42,033780,KT&G,171200,1,2100,1.24,17772350067200,
43,010950,S-Oil,151600,2,-3300,-2.13,17067551267200,
44,003550,LG,112000,2,-6000,-5.08,16933504448000,
45,018260,삼성에스디에스,220500,2,-6500,-2.86,17061804900000,
46,003670,포스코퓨처엠,187300,2,-5700,-2.95,16659627006000,
47,024110,기업은행,20750,1,250,1.22,16546586781750,
48,086280,현대글로비스,205500,1,1500,0.74,15412500000000,
49,000720,현대건설,135400,1,4200,3.2,15077570581000,
50,035720,카카오,34475,2,-425,-1.22,15272421655925,
51,079550,LIG디펜스앤에어로스페이스,679000,2,-1000,-0.15,14938000000000,
52,272210,한화시스템,71700,2,-700,-0.97,13545520191300,
53,064350,현대로템,123000,2,-900,-0.73,13424502039000,
54,278470,에이피알,368500,1,7500,2.08,13795960117500,
55,030200,KT,52500,1,500,0.96,13231138462500,
56,047810,한국항공우주,130600,2,-2500,-1.88,12730248974200,
57,005830,DB손해보험,189500,1,3300,1.77,12412316135500,
58,011070,LG이노텍,539000,2,-18000,-3.23,12756570673000,
59,443060,HD현대마린솔루션,248500,1,19000,8.28,11141114810000,
60,078930,GS,117200,2,-700,-0.59,10887352014000,
61,071050,한국금융지주,192100,2,-1300,-0.67,10704963063200,
62,307950,현대오토에버,389000,2,-5500,-1.39,10667928998000,
63,003490,대한항공,28650,2,-900,-3.05,10549521937650,
64,047050,포스코인터내셔널,58200,1,900,1.57,10238706261600,
65,323410,카카오뱅크,21450,1,100,0.47,10234233373650,
66,259960,크래프톤,209500,1,1000,0.48,9584194058500,
67,028050,삼성E&A,50900,1,500,0.99,9976400000000,
68,006260,LS,313000,2,-8500,-2.64,9765600000000,
69,005940,NH투자증권,26300,3,0,0.0,9710120561500,
70,003230,삼양식품,1281000,1,17000,1.34,9649792215000,
71,180640,한진칼,136300,2,-600,-0.44,9099698627700,
72,047040,대우건설,19660,2,-90,-0.46,8078444163080,
73,0126Z0,삼성에피스홀딩스,340500,2,-8000,-2.3,8472678184500,
74,007660,이수페타시스,109200,2,-3800,-3.36,8016286714800,
75,090430,아모레퍼시픽,139600,1,1100,0.79,8165589156400,
76,352820,하이브,173000,1,1700,0.99,7457482628000,
77,000500,가온전선,250500,1,500,0.2,7459290553500,
78,016360,삼성증권,87100,2,-300,-0.34,7778030000000,
79,161390,한국타이어앤테크놀로지,62400,2,-700,-1.11,7729804305600,
80,267270,HD건설기계,144400,1,3200,2.27,6919921926800,
81,000880,한화,136100,2,-2500,-1.8,7258062881700,
82,064400,LG씨엔에스,71200,2,-1100,-1.52,6898279497600,
83,039490,키움증권,274500,3,0,0.0,7199672742000,
84,021240,코웨이,95400,2,-800,-0.83,6751212440400,
85,009830,한화솔루션,29900,2,-350,-1.16,6724286826400,
86,326030,SK바이오팜,78500,2,-4900,-5.88,6147590125000,
87,377300,카카오페이,46450,2,-2000,-4.13,6284713891900,
88,062040,산일전기,194800,2,-1400,-0.71,5969227180000,
89,128940,한미약품,463000,2,-18500,-3.84,5931488833000,
90,175330,JB금융지주,31900,1,450,1.43,5950046185600,
91,241560,두산밥캣,61500,2,-1500,-2.38,5895147997500,
92,032640,LG유플러스,14730,2,-30,-0.2,6251820492360,
93,000100,유한양행,78700,2,-200,-0.25,5793561964700,
94,052690,한전기술,150300,1,5300,3.66,5744466000000,
95,001440,대한전선,29200,2,-500,-1.68,5722983803200,
96,029780,삼성카드,45550,2,-50,-0.11,5277372485050,
97,271560,오리온,118500,2,-1600,-1.33,4684161378000,
98,353200,대덕전자,98900,2,-3600,-3.51,4887333882500,
99,066970,엘앤에프,119500,2,-3600,-2.92,4861817109000,
100,000990,DB하이텍,108300,2,-6900,-5.99,4711546880400,
101,138930,BNK금융지주,16040,1,430,2.75,4921709606040,
102,088980,맥쿼리인프라,9860,3,0,0.0,4722170850980,
103,088350,한화생명,5940,2,-40,-0.67,5159068200000,
104,454910,두산로보틱스,71200,2,-700,-0.97,4615182576000,
105,036570,NC,206000,2,-3500,-1.67,4438068532000,
106,051900,LG생활건강,293000,2,-2000,-0.68,4387828239000,
107,082740,한화엔진,50100,1,1750,3.62,4180701814200,
